5fdb68fc-d8d0-47c9-8eff-d49c2dc80bd1,182,219,104,494.89
99022438-ead4-4b6e-b4f4-22ecdc9e1cf2,182,219,104,476.9
88b43560-0f36-4504-8d06-212477044678,182,219,104,489.58
expda6e674a,0,0,0,779.38
3e67106b-df6c-4ecd-a6c4-02e5371fc99d,182,219,104,487.35
ec5d75ab-a2f5-443f-85e3-512e1d75ffd4,182,219,104,486.7
2776046a-c4dc-4583-8724-532a7bdba1ba,182,219,104,468.45
b3f839ea-a039-4bc0-af30-255d4948a72a,182,219,104,493.12
40d9844e-f342-40b8-b6a3-077186a2c112,182,219,104,486.75
30265d32-9714-4530-8526-4b7e6bd1973b,182,219,104,489.77
45908ac5-0d24-4ed9-ab83-3d7656909037,182,219,104,467.06
dc735352-767b-4ddc-8dd4-22736e7529ac,182,219,104,469.65
f6fdfebd-0975-4443-a2d9-41655f27e2b3,182,219,104,472.65
